strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
coarse,mixed,4,100000,1,306969.09
coarse,mixed,4,100000,2,337677.33
coarse,mixed,4,100000,3,488761.9
coarse,mixed,4,100000,4,444241.67
coarse,mixed,4,100000,5,358664.88
coarse,mixed,4,500000,1,34332.36
coarse,mixed,4,500000,2,33874.52
coarse,mixed,4,500000,3,34240.95
coarse,mixed,4,500000,4,33404.26
coarse,mixed,4,500000,5,34632.29
coarse,mixed,8,10000,1,3536568.11
coarse,mixed,8,10000,2,3623450.97
coarse,mixed,8,10000,3,3496503.5
coarse,mixed,8,10000,4,3611412.06
coarse,mixed,8,10000,5,3738737.05
coarse,mixed,8,50000,1,516373.16
coarse,mixed,8,50000,2,584696.85
coarse,mixed,8,50000,3,575899.53
coarse,mixed,8,50000,4,621584.39
coarse,mixed,8,50000,5,498898.43
coarse,mixed,8,100000,1,176004.84
coarse,mixed,8,100000,2,218123.58
coarse,mixed,8,100000,3,228257.71
coarse,mixed,8,100000,4,233653.38
coarse,mixed,8,100000,5,253361.86
coarse,mixed,8,500000,1,33611.31
coarse,mixed,8,500000,2,33297.25
coarse,mixed,8,500000,3,32998.69
coarse,mixed,8,500000,4,33004.26
coarse,mixed,8,500000,5,33184.95
coarse,mixed,16,10000,1,2154568.76
coarse,mixed,16,10000,2,1891324.49
coarse,mixed,16,10000,3,1788972.77
coarse,mixed,16,10000,4,1822954.64
coarse,mixed,16,10000,5,1781864.19
coarse,mixed,16,50000,1,320644.98
coarse,mixed,16,50000,2,323045.41
coarse,mixed,16,50000,3,329672.21
coarse,mixed,16,50000,4,348271.15
coarse,mixed,16,50000,5,321062.12
coarse,mixed,16,100000,1,194902.56
coarse,mixed,16,100000,2,197027.06
coarse,mixed,16,100000,3,240905.46
coarse,mixed,16,100000,4,206174.51
coarse,mixed,16,100000,5,239542.99
coarse,mixed,16,500000,1,33632.72
coarse,mixed,16,500000,2,32460.94
coarse,mixed,16,500000,3,33544.29
coarse,mixed,16,500000,4,32673.73
coarse,mixed,16,500000,5,33210.69
fine,insert,1,10000,1,22406453.06
fine,insert,1,10000,2,25012506.25
fine,insert,1,10000,3,24485798.24
fine,insert,1,10000,4,23036166.78
fine,insert,1,10000,5,27218290.69
fine,insert,1,50000,1,3741646.77
fine,insert,1,50000,2,3565189.49
fine,insert,1,50000,3,3601578.93
fine,insert,1,50000,4,3347594.08
fine,insert,1,50000,5,3710024.49
fine,insert,1,100000,1,1568061.72
fine,insert,1,100000,2,1580542.88
fine,insert,1,100000,3,1393124.37
fine,insert,1,100000,4,1547158.95
fine,insert,1,100000,5,1447655.67
fine,insert,1,500000,1,73264.8
fine,insert,1,500000,2,59425.29
fine,insert,1,500000,3,65600.43
fine,insert,1,500000,4,61859.44
fine,insert,1,500000,5,69280.96
fine,insert,1,1000000,1,26114.19
fine,insert,1,1000000,2,26108.3
fine,insert,1,1000000,3,26468.29
fine,insert,1,1000000,4,28540.23
fine,insert,1,1000000,5,29691.24
fine,insert,2,10000,1,28926815.16
fine,insert,2,10000,2,25839793.28
fine,insert,2,10000,3,23952095.81
fine,insert,2,10000,4,23479690.07
fine,insert,2,10000,5,24987506.25
fine,insert,2,50000,1,5860702.82
fine,insert,2,50000,2,5644360.16
fine,insert,2,50000,3,5365900.77
fine,insert,2,50000,4,5584533.08
fine,insert,2,50000,5,5478971.71
fine,insert,2,100000,1,2285787.43
fine,insert,2,100000,2,1933876.88
fine,insert,2,100000,3,2107725.87
fine,insert,2,100000,4,2143011.75
fine,insert,2,100000,5,869154.83
fine,insert,2,500000,1,92798.89
fine,insert,2,500000,2,94285.46
fine,insert,2,500000,3,95376.37
fine,insert,2,500000,4,96979.73
fine,insert,2,500000,5,96302.42
fine,insert,2,1000000,1,43478.49
fine,insert,2,1000000,2,36878.25
fine,insert,2,1000000,3,46377.06
fine,insert,2,1000000,4,41350.1
fine,insert,2,1000000,5,41567.68
fine,insert,4,10000,1,30627871.36
fine,insert,4,10000,2,36995930.45
fine,insert,4,10000,3,34188034.19
fine,insert,4,10000,4,38051750.38
fine,insert,4,10000,5,31201248.05
fine,insert,4,50000,1,10243802.5
fine,insert,4,50000,2,9402030.84
fine,insert,4,50000,3,9374707.04
fine,insert,4,50000,4,9584970.77
fine,insert,4,50000,5,9901578.31
fine,insert,4,100000,1,3503829.69
fine,insert,4,100000,2,3887193.64
fine,insert,4,100000,3,4706347.45
fine,insert,4,100000,4,3729450.73
fine,insert,4,100000,5,3922260.79
fine,insert,4,500000,1,222036.99
fine,insert,4,500000,2,200306.2
fine,insert,4,500000,3,196838.66
fine,insert,4,500000,4,199157.19
fine,insert,4,500000,5,218932.95
fine,insert,4,1000000,1,82090.16
fine,insert,4,1000000,2,82165.9
fine,insert,4,1000000,3,98408.13
fine,insert,4,1000000,4,86159.71
fine,insert,4,1000000,5,83918.26
fine,insert,8,10000,1,31867431.49
fine,insert,8,10000,2,51334702.26
fine,insert,8,10000,3,46125461.25
fine,insert,8,10000,4,35260930.89
fine,insert,8,10000,5,33311125.92
fine,insert,8,50000,1,17455053.24
fine,insert,8,50000,2,13858093.13
fine,insert,8,50000,3,14752744.01
fine,insert,8,50000,4,13323740.24
fine,insert,8,50000,5,15235077.24
fine,insert,8,100000,1,6726306.59
fine,insert,8,100000,2,7368925.24
fine,insert,8,100000,3,6895030.06
fine,insert,8,100000,4,7544209.07
fine,insert,8,100000,5,7011442.67
fine,insert,8,500000,1,398862.06
fine,insert,8,500000,2,397583.77
fine,insert,8,500000,3,406220.21
fine,insert,8,500000,4,421329.13
fine,insert,8,500000,5,445493.79
fine,insert,8,1000000,1,154156.58
fine,insert,8,1000000,2,174141.09
fine,insert,8,1000000,3,182513.23
fine,insert,8,1000000,4,168800.55
fine,insert,8,1000000,5,181141.89
fine,insert,16,10000,1,36873156.34
fine,insert,16,10000,2,37907505.69
fine,insert,16,10000,3,37850113.55
fine,insert,16,10000,4,33624747.81
fine,insert,16,10000,5,41339396.44
fine,insert,16,50000,1,22269730.98
fine,insert,16,50000,2,17178588.61
fine,insert,16,50000,3,17326818.45
fine,insert,16,50000,4,15509647.0
fine,insert,16,50000,5,16887898.13
fine,insert,16,100000,1,9390200.39
