strategy,workload,threads,dataset_size,repetition,throughput_ops_sec
fine,insert,4,500000,4,199157.19
fine,insert,4,500000,5,218932.95
fine,insert,8,50000,1,17455053.24
fine,insert,8,50000,2,13858093.13
fine,insert,8,50000,3,14752744.01
fine,insert,8,50000,4,13323740.24
fine,insert,8,50000,5,15235077.24
fine,insert,8,500000,1,398862.06
fine,insert,8,500000,2,397583.77
fine,insert,8,500000,3,406220.21
fine,insert,8,500000,4,421329.13
fine,insert,8,500000,5,445493.79
fine,insert,16,50000,1,22269730.98
fine,insert,16,50000,2,17178588.61
fine,insert,16,50000,3,17326818.45
fine,insert,16,50000,4,15509647.0
fine,insert,16,50000,5,16887898.13
fine,insert,16,500000,1,852465.21
fine,insert,16,500000,2,822311.08
fine,insert,16,500000,3,891810.7
fine,insert,16,500000,4,908938.37
fine,insert,16,500000,5,855882.56
fine,mixed,1,50000,1,3700195.37
fine,mixed,1,50000,2,3487261.04
fine,mixed,1,50000,3,3877351.61
fine,mixed,1,50000,4,3631187.54
fine,mixed,1,50000,5,3495623.48
fine,mixed,1,500000,1,58731.18
fine,mixed,1,500000,2,64973.17
fine,mixed,1,500000,3,59775.12
fine,mixed,1,500000,4,66718.73
fine,mixed,1,500000,5,66998.99
fine,mixed,2,50000,1,6260878.28
fine,mixed,2,50000,2,5893307.56
fine,mixed,2,50000,3,6717811.61
fine,mixed,2,50000,4,6197169.13
fine,mixed,2,50000,5,6597263.46
fine,mixed,2,500000,1,99808.39
fine,mixed,2,500000,2,96933.26
fine,mixed,2,500000,3,97077.69
fine,mixed,2,500000,4,99747.65
fine,mixed,2,500000,5,98070.4
fine,mixed,4,50000,1,10969001.6
fine,mixed,4,50000,2,10761945.76
fine,mixed,4,50000,3,10753844.5
fine,mixed,4,50000,4,10621574.54
fine,mixed,4,50000,5,10004401.94
fine,mixed,4,500000,1,173983.14
fine,mixed,4,500000,2,173310.74
fine,mixed,4,500000,3,172194.22
fine,mixed,4,500000,4,170455.38
fine,mixed,4,500000,5,207613.19
fine,mixed,8,50000,1,19010684.0
fine,mixed,8,50000,2,16102540.98
fine,mixed,8,50000,3,16842956.28
fine,mixed,8,50000,4,15753489.4
fine,mixed,8,50000,5,14817888.15
fine,mixed,8,500000,1,378174.15
fine,mixed,8,500000,2,362035.19
fine,mixed,8,500000,3,346704.86
fine,mixed,8,500000,4,346579.53
fine,mixed,8,500000,5,322748.16
fine,mixed,16,50000,1,18801940.36
fine,mixed,16,50000,2,18594964.48
fine,mixed,16,50000,3,17162667.77
fine,mixed,16,50000,4,17772722.43
fine,mixed,16,50000,5,18857961.83
fine,mixed,16,500000,1,545479.28
fine,mixed,16,500000,2,519333.33
fine,mixed,16,500000,3,510664.77
fine,mixed,16,500000,4,511975.94
fine,mixed,16,500000,5,571591.49
