strategy,workload,threads,dataset_size,median,mean,std,min,max,count
coarse,mixed,16,100000,0.20617451,0.215710516,0.022780199689410755,0.19490256,0.24090546,5
coarse,mixed,16,500000,0.03321069,0.033104474,0.0005204421657878992,0.03246094,0.03363272,5
fine,insert,1,10000,24.485798239999998,24.431843004,1.8811225522980322,22.406453059999997,27.21829069,5
fine,insert,1,50000,3.60157893,3.5932067520000004,0.1556128753001315,3.34759408,3.74164677,5
fine,insert,1,100000,1.54715895,1.507308718,0.08252084916883648,1.39312437,1.5805428799999999,5
fine,insert,1,500000,0.06560042999999999,0.065886184,0.005567942888422083,0.05942529,0.0732648,5
fine,insert,1,1000000,0.026468290000000002,0.027384449999999998,0.001638488323745399,0.0261083,0.02969124,5
fine,insert,2,10000,24.98750625,25.437180114,2.155173969893087,23.47969007,28.92681516,5
fine,insert,2,50000,5.58453308,5.586893708,0.1862554910482072,5.36590077,5.86070282,5
fine,insert,2,100000,2.10772587,1.8679113520000001,0.5722057518301105,0.8691548299999999,2.28578743,5
fine,insert,2,500000,0.09537637,0.095148574,0.0016584906227139124,0.09279889,0.09697973,5
fine,insert,2,1000000,0.04156768,0.041930316,0.003469938806352352,0.03687825,0.04637706,5
fine,insert,4,10000,34.188034189999996,34.212966886,3.3318585965400263,30.62787136,38.05175038,5
fine,insert,4,50000,9.58497077,9.701417891999998,0.36884203118379394,9.374707039999999,10.2438025,5
fine,insert,4,100000,3.88719364,3.94981646,0.4540058714757298,3.50382969,4.70634745,5
fine,insert,4,500000,0.20030620000000002,0.207454398,0.012010864186042972,0.19683866,0.22203699,5
fine,insert,4,1000000,0.08391826,0.086548432,0.00683381522560934,0.08209016000000001,0.09840813000000001,5
fine,insert,8,10000,35.26093089,39.579930362,8.637895307908476,31.867431489999998,51.33470226,5
fine,insert,8,50000,14.752744009999999,14.924941572,1.5991648202476416,13.32374024,17.455053239999998,5
fine,insert,8,100000,7.01144267,7.109182726,0.3386453572593046,6.72630659,7.54420907,5
fine,insert,8,500000,0.40622021,0.41389779200000004,0.02002933904329647,0.39758377,0.44549379,5
fine,insert,8,1000000,0.17414109,0.172150668,0.011480385855458882,0.15415658,0.18251323,5
fine,insert,16,10000,37.850113549999996,37.51898396599999,2.7585465359549914,33.62474781,41.339396439999994,5
fine,insert,16,50000,17.17858861,17.834536634,2.5816772996871706,15.509647,22.269730980000002,5
fine,insert,16,100000,9.39020039,8.878953552,1.501520681151567,6.290811639999999,10.17149134,5
fine,insert,16,500000,0.8558825600000001,0.866281584,0.034292033580212586,0.82231108,0.90893837,5
fine,insert,16,1000000,0.31948767,0.318729872,0.027292507731513416,0.28817539000000003,0.35171033,5
fine,lookup,1,10000,23.43017807,24.599746682,2.038720574755825,23.28830927,28.042624789999998,5
fine,lookup,1,50000,3.82350692,3.7395550899999996,0.20482063400817338,3.4428622599999996,3.9429689,5
fine,lookup,1,100000,1.61867301,1.612268818,0.0516053998483945,1.56219976,1.68806001,5
fine,lookup,1,500000,0.06521786,0.062428302000000005,0.00990784614641951,0.04512849,0.07033969999999999,5
fine,lookup,1,1000000,0.02838671,0.028225332,0.0011987414143675844,0.02621663,0.02930597,5
fine,lookup,2,10000,43.49717268,41.82344413,7.228118229780921,29.2997363,47.50593824,5
fine,lookup,2,50000,6.74700096,6.27608758,0.8421421235306354,4.87191729,6.87521485,5
fine,lookup,2,100000,2.62560225,2.700822542,0.20935013476605493,2.5211906099999997,2.99829397,5
fine,lookup,2,500000,0.09907104,0.099524532,0.00508094343954644,0.09191942,0.10460351,5
fine,lookup,2,1000000,0.04980502,0.04883295,0.002869808897496487,0.04443297,0.052039260000000004,5
fine,lookup,4,10000,41.476565740000005,46.845310776000005,10.86559396838634,37.03703704,61.1995104,5
